Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2003-06-01,2003-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,,79.879680,X,base year is 2015
ITA,2004-06-01,2004-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,,82.152400,X,base year is 2015
ITA,2005-06-01,2005-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,,81.951870,X,base year is 2015
ITA,2006-06-01,2006-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,,83.021390,X,base year is 2015
ITA,2007-06-01,2007-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,,85.093580,X,base year is 2015
ITA,2008-06-01,2008-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,,90.307490,X,base year is 2015
ITA,2009-06-01,2009-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,,92.045460,X,base year is 2015
ITA,2010-06-01,2010-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,,91.778080,X,base year is 2015
ITA,2011-06-01,2011-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,,94.577210,X,base year is 2015
ITA,2012-06-01,2012-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,,97.150730,X,base year is 2015
ITA,2013-06-01,2013-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,,99.908090,X,base year is 2015
ITA,2014-06-01,2014-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,,99.264710,X,base year is 2015
ITA,2015-06-01,2015-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,,100.275700,X,base year is 2015
ITA,2016-06-01,2016-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,,100.500000,X,base year is 2015
ITA,2017-06-01,2017-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,,101.500000,X,base year is 2015
ITA,2018-06-01,2018-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,,103.900000,X,base year is 2015
ITA,2019-06-01,2019-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,,104.200000,X,base year is 2015
ITA,2020-06-01,2020-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,,106.700000,X,base year is 2015
ITA,2021-06-01,2021-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,,106.100000,X,base year is 2015
ITA,2022-06-01,2022-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2022,2022,,115.700000,X,base year is 2015
ITA,2023-06-01,2023-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2023,2023,,128.400000,X,base year is 2015
ITA,2000-07-01,2000-07-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2000,2000,,71.858290,X,base year is 2015
